state_name_full,median_income,year
Alabama,55935.00,2020
Alaska,78038.00,2020
Arizona,70080.00,2020
Arkansas,54322.00,2020
California,78002.00,2020
Colorado,72400.00,2020
Connecticut,87005.00,2020
Delaware,74051.00,2020
District of Columbia,93000.00,2020
Florida,58150.00,2020
Georgia,56480.00,2020
Hawaii,88101.00,2020
Idaho,65326.00,2020
Illinois,74030.00,2020
Indiana,66882.00,2020
Iowa,65635.00,2020
Kansas,73110.00,2020
Kentucky,55520.00,2020
Louisiana,51760.00,2020
Maine,65800.00,2020
Maryland,95310.00,2020
Massachusetts,87264.00,2020
Michigan,63769.00,2020
Minnesota,81260.00,2020
Mississippi,44092.00,2020
Missouri,60010.00,2020
Montana,60000.00,2020
Nebraska,73000.00,2020
Nevada,70627.00,2020
New Hampshire,86800.00,2020
New Jersey,87352.00,2020
New Mexico,53021.00,2020
New York,71300.00,2020
North Carolina,60300.00,2020
North Dakota,70000.00,2020
Ohio,64782.00,2020
Oklahoma,59303.00,2020
Oregon,73900.00,2020
Pennsylvania,69913.00,2020
Rhode Island,70002.00,2020
South Carolina,61476.00,2020
South Dakota,63600.00,2020
Tennessee,56615.00,2020
Texas,67280.00,2020
Utah,84517.00,2020
Vermont,73800.00,2020
Virginia,81000.00,2020
Washington,82175.00,2020
West Virginia,53520.00,2020
Wisconsin,67163.00,2020
Wyoming,64587.00,2020
Alabama,49396.00,2019
Alaska,68400.00,2019
Arizona,62311.00,2019
Arkansas,49778.00,2019
California,70001.00,2019
Colorado,72620.00,2019
Connecticut,73011.00,2019
Delaware,65002.00,2019
District of Columbia,85101.00,2019
Florida,54401.00,2019
Georgia,56000.00,2019
Hawaii,80000.00,2019
Idaho,58729.00,2019
Illinois,70000.00,2019
Indiana,59690.00,2019
Iowa,68844.00,2019
Kansas,63726.00,2019
Kentucky,54616.00,2019
Louisiana,49665.00,2019
Maine,58001.00,2019
Maryland,86051.00,2019
Massachusetts,86651.00,2019
Michigan,60002.00,2019
Minnesota,72070.00,2019
Mississippi,43000.00,2019
Missouri,61110.00,2019
Montana,58000.00,2019
Nebraska,67653.00,2019
Nevada,61900.00,2019
New Hampshire,81000.00,2019
New Jersey,74100.00,2019
New Mexico,48000.00,2019
New York,67105.00,2019
North Carolina,52943.00,2019
North Dakota,66005.00,2019
Ohio,61398.00,2019
Oklahoma,54005.00,2019
Oregon,69358.00,2019
Pennsylvania,64305.00,2019
Rhode Island,62341.00,2019
South Carolina,57090.00,2019
South Dakota,59344.00,2019
Tennessee,55601.00,2019
Texas,59703.00,2019
Utah,76613.00,2019
Vermont,69844.00,2019
Virginia,76786.00,2019
Washington,79801.00,2019
West Virginia,50180.00,2019
Wisconsin,62676.00,2019
Wyoming,62002.00,2019
