state_name_full,median_income,year,population,cap_lati,cap_long,capital
Alaska,78038,2020,731545,58.301935,-134.41974,Juneau
Arizona,70080,2020,7278717,33.448457,-112.073844,Phoenix
California,78002,2020,5758736,38.555605,-121.468926,Sacramento
Colorado,72400,2020,39512223,39.7391667,-104.984167,Denver
Hawaii,88101,2020,1415872,21.30895,-157.826182,Honolulu
Idaho,65326,2020,1787065,43.613739,-116.237651,Boise
Montana,60000,2020,1068778,46.595805,-112.027031,Helena
Nevada,70627,2020,3080156,39.160949,-119.753877,Carson City
New Mexico,53021,2020,2096829,35.667231,-105.964575,Santa Fe
Oregon,73900,2020,4217737,44.931109,-123.029159,Salem
Utah,84517,2020,3205958,40.7547,-111.892622,Salt Lake City
Washington,82175,2020,7614893,47.042418,-122.893077,Olympia
Wyoming,64587,2020,578759,41.145548,-104.802042,Cheyenne
Alaska,68400,2019,731545,58.301935,-134.41974,Juneau
Arizona,62311,2019,7278717,33.448457,-112.073844,Phoenix
California,70001,2019,5758736,38.555605,-121.468926,Sacramento
Colorado,72620,2019,39512223,39.7391667,-104.984167,Denver
Hawaii,80000,2019,1415872,21.30895,-157.826182,Honolulu
Idaho,58729,2019,1787065,43.613739,-116.237651,Boise
Montana,58000,2019,1068778,46.595805,-112.027031,Helena
Nevada,61900,2019,3080156,39.160949,-119.753877,Carson City
New Mexico,48000,2019,2096829,35.667231,-105.964575,Santa Fe
Oregon,69358,2019,4217737,44.931109,-123.029159,Salem
Utah,76613,2019,3205958,40.7547,-111.892622,Salt Lake City
Washington,79801,2019,7614893,47.042418,-122.893077,Olympia
Wyoming,62002,2019,578759,41.145548,-104.802042,Cheyenne
Alaska,74346,2018,731545,58.301935,-134.41974,Juneau
Arizona,59246,2018,7278717,33.448457,-112.073844,Phoenix
California,75277,2018,39461588,38.555605,-121.468926,Sacramento
Colorado,71953,2018,5758736,39.7391667,-104.984167,Denver
Hawaii,80212,2018,1420593,21.30895,-157.826182,Honolulu
Idaho,55583,2018,1750536,43.613739,-116.237651,Boise
Montana,55328,2018,1060665,46.595805,-112.027031,Helena
Nevada,58646,2018,3027341,39.160949,-119.753877,Carson City
New Mexico,47169,2018,2092741,35.667231,-105.964575,Santa Fe
Oregon,63426,2018,4181886,44.931109,-123.029159,Salem
Utah,71414,2018,3153550,40.7547,-111.892622,Salt Lake City
Washington,85203,2018,7523869,47.042418,-122.893077,Olympia
Wyoming,61584,2018,577601,41.145548,-104.802042,Cheyenne
Alaska,73181,2017,739700,58.301935,-134.41974,Juneau
Arizona,56581,2017,7044008,33.448457,-112.073844,Phoenix
California,71805,2017,39358497,38.555605,-121.468926,Sacramento
Colorado,69117,2017,5611885,39.7391667,-104.984167,Denver
Hawaii,77765,2017,1424393,21.30895,-157.826182,Honolulu
Idaho,52225,2017,1717715,43.613739,-116.237651,Boise
Montana,53386,2017,1052482,46.595805,-112.027031,Helena
Nevada,58003,2017,2969905,39.160949,-119.753877,Carson City
New Mexico,46744,2017,2091784,35.667231,-105.964575,Santa Fe
Oregon,60212,2017,4143625,44.931109,-123.029159,Salem
Utah,65358,2017,3101042,40.7547,-111.892622,Salt Lake City
Washington,82372,2017,7423362,47.042418,-122.893077,Olympia
Wyoming,60434,2017,578931,41.145548,-104.802042,Cheyenne
Alaska,76440,2016,741456,58.301935,-134.41974,Juneau
Arizona,53558,2016,6941072,33.448457,-112.073844,Phoenix
California,67739,2016,39167117,38.555605,-121.468926,Sacramento
Colorado,65685,2016,5539215,39.7391667,-104.984167,Denver
Hawaii,74511,2016,1427559,21.30895,-157.826182,Honolulu
Idaho,51807,2016,1682380,43.613739,-116.237651,Boise
Montana,50027,2016,1040859,46.595805,-112.027031,Helena
Nevada,55180,2016,2917563,39.160949,-119.753877,Carson City
New Mexico,46748,2016,2091630,35.667231,-105.964575,Santa Fe
Oregon,57532,2016,4089976,44.931109,-123.029159,Salem
Utah,65977,2016,3041868,40.7547,-111.892622,Salt Lake City
Washington,75506,2016,7294771,47.042418,-122.893077,Olympia
Wyoming,59882,2016,584215,41.145548,-104.802042,Cheyenne
