state_name_full,median_income,year
Illinois,74030,2020
Indiana,66882,2020
Iowa,65635,2020
Kansas,73110,2020
Michigan,63769,2020
Minnesota,81260,2020
Missouri,60010,2020
Nebraska,73000,2020
North Dakota,70000,2020
Ohio,64782,2020
South Dakota,63600,2020
Wisconsin,67163,2020
Illinois,70000,2019
Indiana,59690,2019
Iowa,68844,2019
Kansas,63726,2019
Michigan,60002,2019
Minnesota,72070,2019
Missouri,61110,2019
Nebraska,67653,2019
North Dakota,66005,2019
Ohio,61398,2019
South Dakota,59344,2019
Wisconsin,62676,2019
Illinois,65030,2018
Indiana,55746,2018
Iowa,59955,2018
Kansas,58218,2018
Michigan,56697,2018
Minnesota,70315,2018
Missouri,54478,2018
Nebraska,59566,2018
North Dakota,63837,2018
Ohio,56111,2018
South Dakota,56274,2018
Wisconsin,60773,2018
Illinois,62992,2017
Indiana,54181,2017
Iowa,58570,2017
Kansas,56422,2017
Michigan,54909,2017
Minnesota,68388,2017
Missouri,53578,2017
Nebraska,59970,2017
North Dakota,61843,2017
Ohio,54021,2017
South Dakota,56521,2017
Wisconsin,59305,2017
Illinois,60960,2016
Indiana,52314,2016
Iowa,56247,2016
Kansas,54935,2016
Michigan,52491,2016
Minnesota,65599,2016
Missouri,51746,2016
Nebraska,56927,2016
North Dakota,60656,2016
Ohio,52344,2016
South Dakota,54467,2016
Wisconsin,56811,2016
