state_name_full,median_income,year,population
Illinois,74030,2020,NAN
Indiana,66882,2020,NAN
Iowa,65635,2020,NAN
Kansas,73110,2020,NAN
Michigan,63769,2020,NAN
Minnesota,81260,2020,NAN
Missouri,60010,2020,NAN
Nebraska,73000,2020,NAN
North Dakota,70000,2020,NAN
Ohio,64782,2020,NAN
South Dakota,63600,2020,NAN
Wisconsin,67163,2020,NAN
Illinois,70000,2019,12671821
Indiana,59690,2019,6732219
Iowa,68844,2019,3155070
Kansas,63726,2019,2913314
Michigan,60002,2019,9986857
Minnesota,72070,2019,5639632
Missouri,61110,2019,6137428
Nebraska,67653,2019,1934408
North Dakota,66005,2019,762062
Ohio,61398,2019,11689100
South Dakota,59344,2019,884659
Wisconsin,62676,2019,5822434
Illinois,65030,2018,12723071
Indiana,55746,2018,6695497
Iowa,59955,2018,3148618
Kansas,58218,2018,2911359
Michigan,56697,2018,9984072
Minnesota,70315,2018,5606249
Missouri,54478,2018,6121623
Nebraska,59566,2018,1925614
North Dakota,63837,2018,758080
Ohio,56111,2018,11676341
South Dakota,56274,2018,878698
Wisconsin,60773,2018,5807406
Illinois,62992,2017,12778828
Indiana,54181,2017,6658078
Iowa,58570,2017,3141550
Kansas,56422,2017,2908718
Michigan,54909,2017,9973114
Minnesota,68388,2017,5566230
Missouri,53578,2017,6106670
Nebraska,59970,2017,1915947
North Dakota,61843,2017,754942
Ohio,54021,2017,11659650
South Dakota,56521,2017,872868
Wisconsin,59305,2017,5790186
Illinois,60960,2016,12820527
Indiana,52314,2016,6634304
Iowa,56247,2016,3131371
Kansas,54935,2016,2910844
Michigan,52491,2016,9950571
Minnesota,65599,2016,5522744
Missouri,51746,2016,6087135
Nebraska,56927,2016,1905616
North Dakota,60656,2016,754434
Ohio,52344,2016,11634370
South Dakota,54467,2016,862996
Wisconsin,56811,2016,5772628
