state_name_full,median_income,year,population
Connecticut,87005,2020,NAN
Maine,65800,2020,NAN
Massachusetts,87264,2020,NAN
New Hampshire,86800,2020,NAN
New Jersey,87352,2020,NAN
New York,71300,2020,NAN
Pennsylvania,69913,2020,NAN
Rhode Island,70002,2020,NAN
Vermont,73800,2020,NAN
Connecticut,73011,2019,3565287
Maine,58001,2019,1344212
Massachusetts,86651,2019,6892503
New Hampshire,81000,2019,1359711
New Jersey,74100,2019,8882190
New York,67105,2019,19453561
Pennsylvania,64305,2019,12801989
Rhode Island,62341,2019,1059361
Vermont,69844,2019,623989
Connecticut,76348,2018,3571520
Maine,55602,2018,1339057
Massachusetts,79835,2018,6882635
New Hampshire,74991,2018,1353465
New Jersey,81740,2018,8886025
New York,67844,2018,19530351
Pennsylvania,60905,2018,12800922
Rhode Island,64340,2018,1058287
Vermont,60782,2018,624358
Connecticut,74168,2017,3573297
Maine,55277,2017,1334612
Massachusetts,77385,2017,6859789
New Hampshire,73381,2017,1348787
New Jersey,80088,2017,8885525
New York,64894,2017,19589572
Pennsylvania,59105,2017,12787641
Rhode Island,63870,2017,1055673
Vermont,57513,2017,624344
Connecticut,73433,2016,3578141
Maine,55277,2016,1331317
Massachusetts,75297,2016,6823608
New Hampshire,70936,2016,1348787
New Jersey,76126,2016,8870827
New York,62909,2016,19633428
Pennsylvania,56907,2016,12782275
Rhode Island,60596,2016,1056770
Vermont,57677,2016,623657
