state_name_full,median_income,year
Alabama,55935,2020
Arkansas,54322,2020
Delaware,74051,2020
District of Columbia,93000,2020
Florida,58150,2020
Georgia,56480,2020
Kentucky,55520,2020
Louisiana,51760,2020
Maryland,95310,2020
Mississippi,44092,2020
North Carolina,60300,2020
Oklahoma,59303,2020
South Carolina,61476,2020
Tennessee,56615,2020
Texas,67280,2020
Virginia,81000,2020
West Virginia,53520,2020
Alabama,49396,2019
Arkansas,49778,2019
Delaware,65002,2019
District of Columbia,85101,2019
Florida,54401,2019
Georgia,56000,2019
Kentucky,54616,2019
Louisiana,49665,2019
Maryland,86051,2019
Mississippi,43000,2019
North Carolina,52943,2019
Oklahoma,54005,2019
South Carolina,57090,2019
Tennessee,55601,2019
Texas,59703,2019
Virginia,76786,2019
West Virginia,50180,2019
Alabama,49861,2018
Arkansas,47062,2018
Delaware,64805,2018
District of Columbia,85203,2018
Florida,55462,2018
Georgia,58756,2018
Kentucky,50247,2018
Louisiana,47905,2018
Maryland,83242,2018
Mississippi,44717,2018
North Carolina,53855,2018
Oklahoma,51924,2018
South Carolina,52306,2018
Tennessee,52375,2018
Texas,60629,2018
Virginia,72577,2018
West Virginia,44097,2018
Alabama,48123,2017
Arkansas,45869,2017
Delaware,62852,2017
District of Columbia,82372,2017
Florida,52594,2017
Georgia,56183,2017
Kentucky,48375,2017
Louisiana,46145,2017
Maryland,80776,2017
Mississippi,43529,2017
North Carolina,52752,2017
Oklahoma,50051,2017
South Carolina,50570,2017
Tennessee,51340,2017
Texas,59206,2017
Virginia,71535,2017
West Virginia,43469,2017
Alabama,46257,2016
Arkansas,45869,2016
Delaware,62852,2016
District of Columbia,75506,2016
Florida,50860,2016
Georgia,53559,2016
Kentucky,46659,2016
Louisiana,45146,2016
Maryland,78945,2016
Mississippi,41754,2016
North Carolina,50584,2016
Oklahoma,49176,2016
South Carolina,49501,2016
Tennessee,48547,2016
Texas,56565,2016
Virginia,68114,2016
West Virginia,43385,2016
