state_name_full,median_income,year
Alaska,78038,2020
Arizona,70080,2020
California,78002,2020
Colorado,72400,2020
Hawaii,88101,2020
Idaho,65326,2020
Montana,60000,2020
Nevada,70627,2020
New Mexico,53021,2020
Oregon,73900,2020
Utah,84517,2020
Washington,82175,2020
Wyoming,64587,2020
Alaska,68400,2019
Arizona,62311,2019
California,70001,2019
Colorado,72620,2019
Hawaii,80000,2019
Idaho,58729,2019
Montana,58000,2019
Nevada,61900,2019
New Mexico,48000,2019
Oregon,69358,2019
Utah,76613,2019
Washington,79801,2019
Wyoming,62002,2019
Alaska,74346,2018
Arizona,59246,2018
California,75277,2018
Colorado,71953,2018
Hawaii,80212,2018
Idaho,55583,2018
Montana,55328,2018
Nevada,58646,2018
New Mexico,47169,2018
Oregon,63426,2018
Utah,71414,2018
Washington,85203,2018
Wyoming,61584,2018
Alaska,73181,2017
Arizona,56581,2017
California,71805,2017
Colorado,69117,2017
Hawaii,77765,2017
Idaho,52225,2017
Montana,53386,2017
Nevada,58003,2017
New Mexico,46744,2017
Oregon,60212,2017
Utah,65358,2017
Washington,82372,2017
Wyoming,60434,2017
Alaska,76440,2016
Arizona,53558,2016
California,67739,2016
Colorado,65685,2016
Hawaii,74511,2016
Idaho,51807,2016
Montana,50027,2016
Nevada,55180,2016
New Mexico,46748,2016
Oregon,57532,2016
Utah,65977,2016
Washington,75506,2016
Wyoming,59882,2016
