state_name_full,median_income,year,population
Alaska,78038,2020,NAN
Arizona,70080,2020,NAN
California,78002,2020,NAN
Colorado,72400,2020,NAN
Hawaii,88101,2020,NAN
Idaho,65326,2020,NAN
Montana,60000,2020,NAN
Nevada,70627,2020,NAN
New Mexico,53021,2020,NAN
Oregon,73900,2020,NAN
Utah,84517,2020,NAN
Washington,82175,2020,NAN
Wyoming,64587,2020,NAN
Alaska,68400,2019,731545
Arizona,62311,2019,7278717
California,70001,2019,5758736
Colorado,72620,2019,39512223
Hawaii,80000,2019,1415872
Idaho,58729,2019,1787065
Montana,58000,2019,1068778
Nevada,61900,2019,3080156
New Mexico,48000,2019,2096829
Oregon,69358,2019,4217737
Utah,76613,2019,3205958
Washington,79801,2019,7614893
Wyoming,62002,2019,578759
Alaska,74346,2018,731545
Arizona,59246,2018,7278717
California,75277,2018,39461588
Colorado,71953,2018,5758736
Hawaii,80212,2018,1420593
Idaho,55583,2018,1750536
Montana,55328,2018,1060665
Nevada,58646,2018,3027341
New Mexico,47169,2018,2092741
Oregon,63426,2018,4181886
Utah,71414,2018,3153550
Washington,85203,2018,7523869
Wyoming,61584,2018,577601
Alaska,73181,2017,739700
Arizona,56581,2017,7044008
California,71805,2017,39358497
Colorado,69117,2017,5611885
Hawaii,77765,2017,1424393
Idaho,52225,2017,1717715
Montana,53386,2017,1052482
Nevada,58003,2017,2969905
New Mexico,46744,2017,2091784
Oregon,60212,2017,4143625
Utah,65358,2017,3101042
Washington,82372,2017,7423362
Wyoming,60434,2017,578931
Alaska,76440,2016,741456
Arizona,53558,2016,6941072
California,67739,2016,39167117
Colorado,65685,2016,5539215
Hawaii,74511,2016,1427559
Idaho,51807,2016,1682380
Montana,50027,2016,1040859
Nevada,55180,2016,2917563
New Mexico,46748,2016,2091630
Oregon,57532,2016,4089976
Utah,65977,2016,3041868
Washington,75506,2016,7294771
Wyoming,59882,2016,584215
